"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
261461;"Arcouest - Est Embarcadère_04/06/2016_13:25_Franck Delisle_8482";261462;"Côtes d'Armor";"ARMO_089";"Arcouest";"ARMO_089a";"Arcouest- Est embarcadère";"01:25";;13;;;"";
261493;"RNN Banc d_Arguin Zone C_04/06/2016_11:00_SEPANSO_10580";261494;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_C";"RNN banc d'Arguin - Centre";"11:00";;6;;;"";
261495;"RNN Banc d_Arguin Zone N_04/06/2016_11:00_SEPANSO_10500";261496;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_N";"RNN banc d'Arguin - Nord";"11:00";;0;;;"";
261497;"RNN Banc d_Arguin Zone S_04/06/2016_11:00_SEPANSO_10661";261498;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_S";"RNN banc d'Arguin - Sud";"11:00";;0;;;"";
261507;"Banc des Bris Gatseau_05/06/2016_11:30_Adrien Privat_1984";261508;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_139";"Banc des Bris";"EGMP_139_1";"Banc des Bris Gatseau";"11:30";;15;;;"";
261509;"Banc des Bris Les Bris_05/06/2016_11:30_Adrien Privat_1995";261510;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_139";"Banc des Bris";"EGMP_139_2";"Banc des Bris Les Bris";"11:30";;8;;;"";
261535;"ILE TUDY_05/06/2016_NA_YT_9743";261536;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42B";"Rivière de Pont l'Abbé - île Tudy";;;154;;;"";"La partie la plus Sud est actuellement fréquentée par des PAP Professionnels qui récoltent des coques, jusqu’a 2 marées par jour (matin et soir quand les marées correspondent)  "
261543;"Les Arros_05/06/2016_12:05_Joy_1745";261544;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"12:05";;7;4;3;"";
261545;"Les Bris Lannelongue_05/06/2016_11:30_Adrien Privat_2922";261546;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_1";"Les Bris Lannelongue";"11:30";;10;;;"";
261547;"Les Bris Plage du soleil_05/06/2016_11:30_Adrien Privat_2940";261548;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_138";"Les Bris";"EGMP_138_2";"Les Bris Plage du soleil";"11:30";;18;;;"";
261549;"Les Cantines_05/06/2016_11:53_Joy_1843";261550;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"11:53";;6;3;3;"";
261559;"Piégu_05/06/2016_14:35_Jérémy Allain_8722";261560;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"02:35";;4;;;"";
261573;"Verdelet_05/06/2016_14:35_Jérémy Allain_8723";261574;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"02:35";;38;;;"";
