"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261869;"La Hume_17/06/2016_10:07_BB_10353";261870;"Bassin d'Arcachon";"BARC_07";"La Hume";"10:07";4;3;1;;;;;;;"Pêche à pied professionnelle";"4 groupes classes vertes (110 enfants et 12 adultes)"
261871;"Le Cosquer Passage > Kernisi_17/06/2016_09:45_F.Oppermann_5990";261872;"Rade de Brest";"BRES_03";"Le Cosquer Passage > Kernisi (Keraliou)";"09:45";0;;;;;;;;;"";
261873;"Pereire_17/06/2016_09:40_BB_10352";261874;"Bassin d'Arcachon";"BARC_04";"Pereire";"09:40";0;0;0;;;;;;;"Promeneurs, joggeurs | Autres pêches de loisir";
261875;"ALCYONS_18/06/2016_09:30_JP_6668";261876;"Côte basque";"BASQ_05";"Les Alcyons";"09:30";0;0;0;0;0;;;;;"";"Pluie et averses jours et nuits précédents."
261877;"Bourcefranc/ Marennes_18/06/2016_10:28_Jean-Baptiste Bonnin_2067";261878;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_098";"Bourcefranc/ Marennes";"10:28";61;;;61;0;;;;;"";
261879;"Bourcefranc/ Marennes_18/06/2016_10:28_Sarah Olivier_2068";261880;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_098";"Bourcefranc/ Marennes";"10:28";61;;;61;0;;;;;"";
261881;"CENITZ_18/06/2016_09:50_JP_6667";261882;"Côte basque";"BASQ_06";"Cenitz";"09:50";0;0;0;0;0;;;;;"";"Pluie et averses jours et nuits précédents."
261883;"ERROMARDIE_18/06/2016_10:10_JP_6666";261884;"Côte basque";"BASQ_02";"Erromardie";"10:10";0;0;0;0;0;;;;;"";"Pluie et averses jours et nuits précédents."
261885;"FLOTS BLEUS_18/06/2016_10:25_JP_6665";261886;"Côte basque";"BASQ_01";"Les Flots Bleus";"10:25";0;0;0;0;0;;;;;"";"Pluie et averses jours et nuits précédents."
261887;"Fort de la pointe_18/06/2016_10:10_Gwenaelle Auproux_159";261888;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_091";"Fort de la Pointe";"10:10";0;0;0;0;0;;;;;"";
261889;"Galon d_Or_18/06/2016_10:35_Jean-Baptiste Bonnin_2321";261890;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_102";"Galon d'Or";"10:35";9;;;9;0;;;;;"";
261891;"Galon d_Or_18/06/2016_10:35_Sarah Olivier_2322";261892;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_102";"Galon d'Or";"10:35";9;;;9;0;;;;;"";
