"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-09-27-MORL-SEN-021";"2018-09-27_MORL_19_385279";"Non";;"Coque commune";"Oui";35;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";"Coque commune";"Ne sait pas";;"Ne sait pas";"Oui";"Internet / Applications mobiles";"Non renseigné"
"2018-09-27-MORL-SEN-022";"2018-09-27_MORL_19_385289";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-023";"2018-09-27_MORL_19_385297";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-024";"2018-09-27_MORL_19_385304";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";"Coque commune";"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-025";"2018-09-27_MORL_19_385311";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";2;"kg";"Réponse incorrecte ou NSP";;"Oui";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"2018-09-27-MORL-SEN-026";"2018-09-27_MORL_19_385320";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-027";"2018-09-27_MORL_19_385330";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";"Coque commune";"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-27-MORL-SEN-028";"2018-09-27_MORL_19_385337";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Oui mais pas aujourd'hui";;;;"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Ne sait pas";;"Ne sait pas";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"2018-09-27-MORL-SEN-029";"2018-09-27_MORL_19_385344";"Non";;"Coque commune";"Oui";27;"Réponse correcte";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";3;"kg";"Réponse correcte";;"Oui";;"Réponse correcte";"Oui";"Médias (journaux, radios, tv) | Internet / Applications mobiles";"Non renseigné"
"2018-09-28-MORL-SEN-021";"2018-09-28_MORL_08_385351";"Non";;"Bigorneau";"espèce sans maille";;"Réponse correcte";"Non";"Aucun outil";"Aucun outil";;"Bigorneau";"Oui";500;"Nb";"Réponse correcte";;"Oui";;"Réponse correcte";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"2018-09-28-MORL-SEN-023";"2018-09-28_MORL_08_385358";"Non";;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Artisanal";"Piges, toiseurs, gabarits";"Oui";"Palourdes";"Oui";3;"kg";"Réponse correcte";;"Oui";;"Réponse correcte";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies  | Internet / Applications mobiles";"Oui"
"2018-09-28-MORL-SEN-024";"2018-09-28_MORL_08_385366";"Non";;"Coque commune";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Oui";4;"kg";"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-28-MORL-SEN-025";"2018-09-28_MORL_08_385376";"Non";;"Palourdes";"Oui";40;"Réponse correcte";"Non";"Aucun outil";"Aucun outil";;"Palourdes";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"2018-09-28-MORL-SEN-025";"2018-09-28_MORL_08_385384";"Non";;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Réglette à trou (type IODDE)";"Oui";"Palourdes";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Oui";;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Oui"
"2018-09-28-MORL-SEN-027";"2018-09-28_MORL_08_385393";"Non";;"Bigorneau";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Bigorneau";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-09-28-MORL-SEN-028";"2018-09-28_MORL_08_385400";"Non";;"Moule";"Oui";40;"Réponse correcte";"Non";"Aucun outil";"Aucun outil";;"Moule";"Oui";4;"kg";"Réponse incorrecte ou NSP";;"Oui";;"Réponse correcte";"Oui";"Médias (journaux, radios, tv) | Internet / Applications mobiles";"Oui"
"2018-09-28-MORL-SEN-029";"2018-09-28_MORL_08_385408";"Non";;"Bigorneau";"espèce sans maille";;"Réponse correcte";"Non";"Aucun outil";"Aucun outil";;"Bigorneau";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non concerné"
"2018-09-28-MORL-SEN-030";"2018-09-28_MORL_08_385415";"Non";;"Bigorneau";"Ne sait pas";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";"Aucun outil";;"Bigorneau";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non concerné"
"2018-09-28-MORL-SEN-031";"2018-09-28_MORL_08_385423";"Non";;"Coque commune";"Oui";30;"Réponse ancienne valeur";"Non";"Aucun outil";"Aucun outil";;"Coque commune";"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";"Non";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
