"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_12";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_13";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_14";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_15";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_16";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_17";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_18";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_19";;"Non renseigné";;;"espèce sans maille";;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_2";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_20";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";"Marque engin de pêche";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_21";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_22";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_23";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_24";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";"Marque engin de pêche";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_25";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_26";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_27";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_28";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
