"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
429487;"2019-08-02-ECOT-FRE-328";429488;"Est Cotentin";"ECOT_23";"De la pointe du Brick à l’anse du vieux fort du Cap Lévi";"17:20";10;;;;;;"Non renseigné";;;"";
429489;"2019-08-02-ECOT-FRE-329";429490;"Est Cotentin";"ECOT_01";"Du port Cap Lévi au Port Pignot";"18:00";16;;;;;;"Non renseigné";;;"";
429491;"2019-08-02-ECOT-FRE-330";429492;"Est Cotentin";"ECOT_24";"De Montfarville (pointe Maigret) à la pointe de Fouly";"17:30";97;;;;;;"Non renseigné";;;"";
429493;"2019-08-02-ECOT-FRE-331";429494;"Est Cotentin";"ECOT_09A";"Baie de Morsalines";"16:34";85;;;;;;"Non renseigné";;;"";
429495;"2019-08-02-ECOT-FRE-333";429496;"Est Cotentin";"ECOT_08A";"Anse du Cul du Loup";"19:05";6;;;;;;"Non renseigné";;;"";
429497;"2019-08-02-ECOT-FRE-334";429498;"Est Cotentin";"ECOT_06D";"Ile de Tatihou";"18:30";21;;;;;;"Non renseigné";;;"";
429499;"2019-08-02-ECOT-FRE-335";429500;"Est Cotentin";"ECOT_06A";"Jonville - Fond de baie";"17:35";401;;;;;;"Non renseigné";;;"";
429501;"2019-08-02-ECOT-FRE-336";429502;"Est Cotentin";"ECOT_07A";"La Hougue - Secteur Est";"18:40";167;;;;;;"Non renseigné";;;"";
429503;"2019-08-02-ECOT-FRE-337";429504;"Est Cotentin";"ECOT_06B";"Le Run";"18:00";86;;;;;;"Non renseigné";;;"";
429505;"2019-08-02-ECOT-FRE-338";429506;"Est Cotentin";"ECOT_05B";"Pointe de Saire";"17:20";34;;;;;;"Non renseigné";;;"";
429507;"2019-08-02-ECOT-FRE-339";429508;"Est Cotentin";"ECOT_06C";"Port de Saint Vaast";"18:20";33;;;;;;"Non renseigné";;;"";
429509;"2019-08-02-ECOT-FRE-340";429510;"Est Cotentin";"ECOT_05A";"Roches du Dranguet";"17:00";82;;;;;;"Non renseigné";;;"";
430091;"2020-03-09-GONB-FRE-002";430092;"Golfe Normand Breton";"GONB_03D";"Le Vivier-sur-Mer - La Larronnière";;68;;;;;;"Non renseigné";;;"Conchyliculture | Pêche à pied professionnelle";
430093;"2020-03-10-GONB-FRE-002";430094;"Golfe Normand Breton";"GONB_03E";"Cherrueix - Banc des hermelles";"14:45";115;115;0;115;;;"Non renseigné";;;"Conchyliculture | Engins motorisés terrestres";"18 tracteurs 
4 agents de l'OFB"
430095;"2020-03-11-GONB-FRE-004";430096;"Golfe Normand Breton";"GONB_02M";"Pointe du Grouin à la Pointe de la Chaine";;37;;;;;;"Non renseigné";;;"";
430097;"2020-02-12-GONB-FRE-003";430098;"Golfe Normand Breton";"GONB_03D";"Le Vivier-sur-Mer - La Larronnière";;15;;;10;5;;"Non renseigné";;;"";
