"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
404076;"2018-09-06-GONB-FRE-021";404077;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra22";"Banche";"14:05";"total de pêcheurs à pied de loisir";0;;;"";
404076;"2018-09-06-GONB-FRE-021";404078;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra17";"Grève de Garel";"14:05";"total de pêcheurs à pied de loisir";0;;;"";
404076;"2018-09-06-GONB-FRE-021";404082;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra21";"La Herviais";"14:05";"total de pêcheurs à pied de loisir";1;1;0;"";"1 fouisseur (main) + 1 pêcheur pro (palourdes)"
404102;"2018-09-06-GONB-FRE-029";404104;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"14:25";"total de pêcheurs à pied de loisir";2;2;0;"Pêche à pied professionnelle | Autres pêches de loisir";"2 sur palourdes + 1 vers marins + 9 pêcheurs pro sur palourdes"
404102;"2018-09-06-GONB-FRE-029";404105;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"14:25";"total de pêcheurs à pied de loisir";1;;;"";"sur vasière avec haveneau"
404106;"2019-08-02-EGMP-FRE-023";404113;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"EGMP_005_3";"Port de Jard";"12:43";"total de pêcheurs à pied de loisir";68;56;12;"";
404106;"2019-08-02-EGMP-FRE-023";404112;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"EGMP_005_2";"Goffineaux";"12:02";"total de pêcheurs à pied de loisir";92;62;30;"";
404106;"2019-08-02-EGMP-FRE-023";404114;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"EGMP_005_1";"Ragounite";"11:34";"total de pêcheurs à pied de loisir";161;132;29;"";
404119;"2019-08-02-EGMP-FRE-026";404122;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_004";"Pointe du Payré - Plage de la Mine";"EGMP_004_2";"Plage de la Mine";"11:25";"total de pêcheurs à pied de loisir";103;76;27;"Sports de glisse (surf, body-board, kite surf, etc.) | Plagistes, baigneurs";"Environ 200 baigneurs et 3 planchistes"
404119;"2019-08-02-EGMP-FRE-026";404123;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_004";"Pointe du Payré - Plage de la Mine";"EGMP_004_1";"Pointe du Payré";"12:20";"total de pêcheurs à pied de loisir";16;15;1;"";
