"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_13/07/2014_Franck Delisle_6";;;30;120;2;"Non";;;;"Coques";14.52;2;;;9.41;;;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_1";;;;;1;"Non";;;;"Praire";150.46;10;;;27.88;;;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_1";;;;;1;"Non";;;;"Palourdes";21.2;2;;;;;;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_2";;;;;4;"Non";;;;"Palourdes";38.78;2;;;38.78;;;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_3";;;;;2;"Oui";;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_4";;;;;1;"Oui";;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_5";;;135;240;1;"Non";;;;"Palourdes";193.9;10;;;193.9;;;;
"Arcouest_13/07/2014_Jean-Pierre Guillosson_5";;;135;240;1;"Non";;;;"Praire";557.6;20;;;557.6;;;;
"Arcouest_13/07/2014_Olivier Massard_1";;;;;1;"Non";;;;"Praire";27.88;1;;;27.88;;;;
"Arcouest_13/07/2014_Olivier Massard_2";;;;;1;"Oui";;;
"Arcouest_13/07/2014_Olivier Massard_3";;;30;90;1;"Non";;;;"Etrille";113.94;1;;;113.94;;;;
"Arcouest_13/07/2014_Olivier Massard_3";;;30;90;1;"Non";;;;"Praire";27.88;1;;;27.88;;;;
"Arcouest_13/07/2014_Olivier Massard_4";;;;120;1;"Oui";;;
"Arcouest_13/07/2014_Olivier Massard_5";;;;;;"Oui";;;
"Arcouest_13/07/2014_Olivier Massard_6";;;;180;1;"Oui";;;
"Arcouest_13/07/2014_Olivier Massard_7";;;;;1;"Non";;;;"Palourdes";88.16;5;;;77.56;;;;
"Arcouest_13/07/2014_Olivier Massard_7";;;;;1;"Non";;;;"Praire";236.01999999999998;10;;;195.16;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_1";;;;;3;"Non";;;;"Palourdes";;;;;;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_1";;;;;3;"Non";;;;"Etrille";;;;;;;;;
