"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-07-13_GONB_01A_362243";"2018-07-13-GONB-SEN-032";"PARIS 03";;;"en séjour sur une commune";"ST CAST LE GUILDO";10;"Camping car";"Oui";;"Non, secondaire";"Non, secondaire";"M";1957;"0_Non Renseigné";"M";2010;;"Tri partiel";"Bon";"Oui";"";
"2018-08-13_GONB_01B_362932";"2018-08-13-GONB-SEN-063";"LA CAINE";;;"en séjour sur une commune";"ST CAST LE GUILDO";10;;;;;;"M";1985;"2-21_Artisans";"F";1987;"5_Employés";"Tri complet";"Bon";"Oui";"";
"2018-08-13-GONB-SEN-066";"2018-08-13_GONB_01B_362940";"MENIL SUR SAULX";;;"en séjour sur une commune";"ST CAST LE GUILDO";21;;;;;;"M";1961;"3_Cadres et professions intellectuelles supérieures";;;;"Tri complet";"Bon";"Oui";"";
"2018-08-13_GONB_01B_362949";"2018-08-13-GONB-SEN-066";"MOUAZE";;;"en séjour sur une commune";"ST CAST LE GUILDO";190;;;;;;"F";1984;"3_Cadres et professions intellectuelles supérieures";"F";1970;"7_Retraités";"Tri complet";"Bon";"Oui";"";
"2018-08-10-GONB-SEN-042";"2018-08-10_GONB_01B_362959";"MONTAUBAN DE BRETAGNE";;;"pour la journée";;;;;;;;"M";1957;"7-71-71_Anciens agriculteurs exploitants";;;;"Tri complet";"Bon";"Oui";"";
"2018-08-10-GONB-SEN-043";"2018-08-10_GONB_01B_362972";"ST GILLES";;;"en séjour sur une commune";"ST CAST LE GUILDO";21;;;;;;"M";1972;"3_Cadres et professions intellectuelles supérieures";;;;"Tri complet";"Bon";"Oui";"";
"2018-08-10-GONB-SEN-044";"2018-08-10_GONB_01B_362980";"CHANTELOUP";;;"pour la journée";;;;;;;;"M";1954;"6_Ouvriers";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-30-GONB-SEN-002";"2018-07-30_GONB_01B_362989";"POISSY";;;"en séjour sur une commune";"ST CAST LE GUILDO";21;;;;;;"M";1970;"3_Cadres et professions intellectuelles supérieures";;;;"Récolte conforme";"Bon";"Oui";"";
"2018-07-30-GONB-SEN-003";"2018-07-30_GONB_01B_362997";"RENNES";;;"en séjour sur une commune";"ST CAST LE GUILDO";31;;;;;;"M";1952;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-24-GONB-SEN-002";"2018-07-24_GONB_01B_363004";"ST CYR LE GRAVELAIS";;;"en séjour sur une commune";"ST CAST LE GUILDO";3;;;;;;"M";1995;"5_Employés";;;;"Récolte conforme";"Bon";"Oui";"";
"2018-07-24-GONB-SEN-004";"2018-07-24_GONB_01B_363011";"LAVAL";;;"en séjour sur une commune";"PLURIEN";5;;;;;;"M";1958;"2-21_Artisans";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-30_GONB_01A_363013";"2018-07-30-GONB-SEN-003";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1958;"3_Cadres et professions intellectuelles supérieures";"M";1978;"3_Cadres et professions intellectuelles supérieures";"Tri complet";"Bon";"Oui";"";""
"2018-07-30_GONB_01A_363013";"2018-07-30-GONB-SEN-003";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1958;"3_Cadres et professions intellectuelles supérieures";"F";2006;;"Tri complet";"Bon";"Oui";"";""
"2018-07-30_GONB_01A_363013";"2018-07-30-GONB-SEN-003";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1958;"3_Cadres et professions intellectuelles supérieures";"F";2015;;"Tri complet";"Bon";"Oui";"";""
"2018-07-30_GONB_01A_363013";"2018-07-30-GONB-SEN-003";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1958;"3_Cadres et professions intellectuelles supérieures";"F";1985;"3_Cadres et professions intellectuelles supérieures";"Tri complet";"Bon";"Oui";"";""
"2018-07-30_GONB_01A_363013";"2018-07-30-GONB-SEN-003";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1958;"3_Cadres et professions intellectuelles supérieures";"F";2010;;"Tri complet";"Bon";"Oui";"";""
"2018-07-30_GONB_01A_363028";"2018-07-30-GONB-SEN-004";"CHARTRES DE BRETAGNE";;;"en séjour sur une commune";"ST CAST LE GUILDO";90;"Camping car";"Non";123.0;"Oui, en partie";"Non, secondaire";"M";1951;"0_Non Renseigné";"M";2009;"8-82-84_Elèves, étudiants";"Panier vide";"Bon";"Oui";"";
"2018-07-30_GONB_01A_363028";"2018-07-30-GONB-SEN-004";"CHARTRES DE BRETAGNE";;;"en séjour sur une commune";"ST CAST LE GUILDO";90;"Camping car";"Non";123.0;"Oui, en partie";"Non, secondaire";"M";1951;"0_Non Renseigné";"F";1979;"0_Non Renseigné";"Panier vide";"Bon";"Oui";"";
"2018-07-30_GONB_01A_363028";"2018-07-30-GONB-SEN-004";"CHARTRES DE BRETAGNE";;;"en séjour sur une commune";"ST CAST LE GUILDO";90;"Camping car";"Non";123.0;"Oui, en partie";"Non, secondaire";"M";1951;"0_Non Renseigné";"F";2012;"8-82-84_Elèves, étudiants";"Panier vide";"Bon";"Oui";"";
"2018-07-30_GONB_01A_363044";"2018-07-30-GONB-SEN-005";"RENNES";;;"en séjour sur une commune";"ST CAST LE GUILDO";4;"Camping car";"Non";10.0;"Oui, en partie";"Non, secondaire";"M";1967;"0_Non Renseigné";"F";1964;"6_Ouvriers";"Tri partiel";"Bon";"Oui";"";"ouvriers tous les deux"
"2018-08-14_GONB_01B_363163";"2018-08-14-GONB-SEN-050";"GRAND BOURGTHEROULDE";;;"en séjour sur une commune";"ST MAUGAN";;;;;;;"M";1953;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"F";1956;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"Tri complet";"Bon";"Oui";"";
"2018-08-14_GONB_01B_363163";"2018-08-14-GONB-SEN-050";"GRAND BOURGTHEROULDE";;;"en séjour sur une commune";"ST MAUGAN";;;;;;;"M";1953;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"F";2006;"8-82-84_Elèves, étudiants";"Tri complet";"Bon";"Oui";"";
"2018-08-14_GONB_01B_363191";"2018-08-14-GONB-SEN-051";"JONQUIERES";;;"en séjour sur une commune";"PLANCOET";;;;;;;"M";1945;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"F";1981;"3_Cadres et professions intellectuelles supérieures";"Tri complet";"Bon";"Oui";"";
"2018-08-14_GONB_01B_363191";"2018-08-14-GONB-SEN-051";"JONQUIERES";;;"en séjour sur une commune";"PLANCOET";;;;;;;"M";1945;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";"F";1953;"5_Employés";"Tri complet";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-033";"2018-07-13_GONB_01B_363200";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1946;"7-73-74_Anciens cadres";;;;"Panier vide";"Bon";"Oui";"";
"2018-07-13_GONB_01B_363206";"2018-07-13-GONB-SEN-034";"ERNEE";;;"en séjour sur une commune";"ST CAST LE GUILDO";15;;;;;;"M";1953;"7-76-78_Anciens ouvriers";"F";1946;"7-76-78_Anciens ouvriers";"Tri complet";"Bon";"Oui";"";
"2018-07-13_GONB_01B_363219";"2018-07-13-GONB-SEN-035";"LA FLECHE";;;"en séjour sur une commune";"ST CAST LE GUILDO";4;;;;;;"M";1951;"7-73-75_Anciennes professions intermédiaires";"F";1952;"7-73-75_Anciennes professions intermédiaires";"Tri complet";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-036";"2018-07-13_GONB_01B_363229";"BROONS";;;"en séjour sur une commune";"ST CAST LE GUILDO";;;;;;;"F";1951;"7-76-78_Anciens ouvriers";;;;"Non Triée";"Bon";"Oui";"";
"2018-07-13_GONB_01B_363236";"2018-07-13-GONB-SEN-037";"MONTMAIN";;;"en séjour sur une commune";"ST CAST LE GUILDO";15;;;;;;"M";1949;"7-76-77_Anciens employés";"F";1955;"4_Professions Intermédiaires";"Tri complet";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-038";"2018-07-13_GONB_01B_363245";"MORDELLES";;;"pour la journée";;;;;;;;"M";1990;"5_Employés";;;;"Tri complet";"Moyen";"Oui";"";
"2018-07-13-GONB-SEN-039";"2018-07-13_GONB_01B_363252";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1959;"0_Non Renseigné";;;;"Récolte non vérifiée";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-040";"2018-07-13_GONB_01B_363259";"BROONS";;;"pour la journée";;;;;;;;"M";1946;"7-76-77_Anciens employés";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-041";"2018-07-13_GONB_01B_363266";"ST LORMEL";;;"en séjour sur une commune";;;;;;;;"M";1952;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";;;;"Tri complet";"Bon";"Oui";"";
"2018-07-13-GONB-SEN-042";"2018-07-13_GONB_01B_363273";"PLOREC SUR ARGUENON";;;"pour la journée";;;;;;;;"M";1945;"7-76-78_Anciens ouvriers";;;;"Tri complet";"Bon";"Oui";"";
